Cygnus version: 0.28.0.6,File version: 2021.11
Operative system: Windows
Record datetime: 2024-07-01 11:26:19.142
Device ID: A8EEG_DONGLE_BWS2540
Device verison: 
Device bandwidth: DC to 131 Hz
Device sampling rate: 1000 samples/second
Data type / unit: EEG / micro-volt (uV)
Bandpass filter: None
Notch filter: None
Timestamp,Serial Number,Fp1,Fp2,Fz,C3,C4,Pz,O1,O2,Event Id,Event Date,Event Duration,Software Marker,Software Marker Name
0.000,102624,374588.24,374681.89,374871.92,375000.0,374838.58,374861.15,375000.0,375000.0,,,,,
0.001,102625,374595.47,374688.58,374878.43,375000.0,374845.08,374867.73,375000.0,375000.0,,,,,
0.002,102626,374603.25,374695.88,374885.48,375000.0,374852.11,374874.82,375000.0,375000.0,,,,,
0.003,102627,374611.65,374703.89,374893.16,375000.0,374859.73,374882.48,375000.0,375000.0,,,,,
0.004,102628,374620.07,374711.98,374900.87,375000.0,374867.39,374890.16,375000.0,375000.0,,,,,
0.005,102629,374627.35,374718.96,374907.47,375000.0,374873.98,374896.77,375000.0,375000.0,,,,,
0.006,102630,374632.2,374723.52,374911.76,375000.0,374878.3,374901.13,375000.0,375000.0,,,,,
0.007,102631,374633.75,374724.81,374912.93,375000.0,374879.54,374902.42,375000.0,375000.0,,,,,
0.008,102632,374631.86,374722.73,374910.93,375000.0,374877.6,374900.55,375000.0,375000.0,,,,,
0.009,102633,374627.13,374717.97,374906.41,375000.0,374873.09,374896.09,375000.0,375000.0,,,,,
0.010,102634,374620.64,374711.67,374900.46,375000.0,374867.05,374890.07,375000.0,375000.0,,,,,
0.011,102635,374613.55,374705.02,374894.14,375000.0,374860.57,374883.59,375000.0,375000.0,,,,,
0.012,102636,374606.74,374698.82,374888.22,375000.0,374854.48,374877.46,375000.0,375000.0,,,,,
0.013,102637,374600.72,374693.46,374883.05,375000.0,374849.2,374872.12,375000.0,375000.0,,,,,
0.014,102638,374595.68,374689.02,374878.74,375000.0,374844.88,374867.73,375000.0,375000.0,,,,,
0.015,102639,374591.79,374685.55,374875.38,375000.0,374841.59,374864.4,375000.0,375000.0,,,,,
0.016,102640,374589.28,374683.25,374873.23,375000.0,374839.53,374862.33,375000.0,375000.0,,,,,
0.017,102641,374588.55,374682.53,374872.67,375000.0,374839.03,374861.84,375000.0,375000.0,,,,,
0.018,102642,374589.98,374683.83,374874.1,375000.0,374840.44,374863.29,375000.0,375000.0,,,,,
0.019,102643,374593.78,374687.41,374877.71,375000.0,374843.98,374866.86,375000.0,375000.0,,,,,
0.020,102644,374599.81,374693.16,374883.33,375000.0,374849.53,374872.43,375000.0,375000.0,,,,,
0.021,102645,374607.59,374700.59,374890.48,375000.0,374856.67,374879.56,375000.0,375000.0,,,,,
0.022,102646,374616.35,374708.93,374898.43,375000.0,374864.7,374887.55,375000.0,375000.0,,,,,
0.023,102647,374625.2,374717.28,374906.4,375000.0,374872.79,374895.58,375000.0,375000.0,,,,,
0.024,102648,374633.24,374724.8,374913.62,375000.0,374880.12,374902.85,375000.0,375000.0,,,,,
0.025,102649,374639.7,374730.76,374919.42,375000.0,374885.95,374908.63,375000.0,375000.0,,,,,
0.026,102650,374643.9,374734.57,374923.2,375000.0,374889.68,374912.35,375000.0,375000.0,,,,,
0.027,102651,374645.41,374735.85,374924.53,375000.0,374890.9,374913.6,375000.0,375000.0,,,,,
0.028,102652,374644.05,374734.46,374923.2,375000.0,374889.48,374912.23,375000.0,375000.0,,,,,
0.029,102653,374640.02,374730.58,374919.37,375000.0,374885.65,374908.45,375000.0,375000.0,,,,,
0.030,102654,374633.88,374724.75,374913.58,375000.0,374879.96,374902.79,375000.0,375000.0,,,,,
0.031,102655,374626.54,374717.81,374906.73,375000.0,374873.27,374896.08,375000.0,375000.0,,,,,
0.032,102656,374619.0,374710.75,374899.82,375000.0,374866.5,374889.26,375000.0,375000.0,,,,,
0.033,102657,374612.17,374704.42,374893.71,375000.0,374860.45,374883.15,375000.0,375000.0,,,,,
0.034,102658,374606.65,374699.41,374888.96,375000.0,374855.67,374878.32,375000.0,375000.0,,,,,
0.035,102659,374602.78,374695.99,374885.78,375000.0,374852.39,374875.04,375000.0,375000.0,,,,,
0.036,102660,374600.64,374694.2,374884.16,375000.0,374850.67,374873.37,375000.0,375000.0,,,,,
0.037,102661,374600.31,374694.05,374884.09,375000.0,374850.56,374873.36,375000.0,375000.0,,,,,
0.038,102662,374601.92,374695.66,374885.7,375000.0,374852.21,374875.12,375000.0,375000.0,,,,,
0.039,102663,374605.71,374699.24,374889.23,375000.0,374855.82,374878.83,375000.0,375000.0,,,,,
0.040,102664,374611.8,374704.97,374894.87,375000.0,374861.54,374884.58,375000.0,375000.0,,,,,
0.041,102665,374620.01,374712.72,374902.5,375000.0,374869.17,374892.23,375000.0,375000.0,,,,,
0.042,102666,374629.72,374721.94,374911.51,375000.0,374878.14,374901.17,375000.0,375000.0,,,,,
0.043,102667,374639.84,374731.6,374920.88,375000.0,374887.45,374910.44,375000.0,375000.0,,,,,
0.044,102668,374649.09,374740.44,374929.36,375000.0,374895.89,374918.87,375000.0,375000.0,,,,,
0.045,102669,374656.26,374747.26,374935.81,375000.0,374902.39,374925.37,375000.0,375000.0,,,,,
0.046,102670,374660.55,374751.26,374939.52,375000.0,374906.22,374929.23,375000.0,375000.0,,,,,
0.047,102671,374661.68,374752.18,374940.3,375000.0,374907.15,374930.19,375000.0,375000.0,,,,,
0.048,102672,374659.87,374750.28,374938.43,375000.0,374905.39,374928.48,375000.0,375000.0,,,,,
0.049,102673,374655.69,374746.15,374934.49,375000.0,374901.48,374924.58,375000.0,375000.0,,,,,
0.050,102674,374649.84,374740.51,374929.11,375000.0,374896.04,374919.14,375000.0,375000.0,,,,,
0.051,102675,374642.99,374734.03,374922.91,375000.0,374889.71,374912.78,375000.0,375000.0,,,,,
0.052,102676,374635.79,374727.32,374916.43,375000.0,374883.08,374906.09,375000.0,375000.0,,,,,
0.053,102677,374628.85,374720.93,374910.23,375000.0,374876.75,374899.69,375000.0,375000.0,,,,,
0.054,102678,374622.82,374715.45,374904.91,375000.0,374871.32,374894.21,375000.0,375000.0,,,,,
0.055,102679,374618.32,374711.45,374901.04,375000.0,374867.4,374890.27,375000.0,375000.0,,,,,
0.056,102680,374615.89,374709.4,374899.14,375000.0,374865.46,374888.35,375000.0,375000.0,,,,,
0.057,102681,374615.88,374709.64,374899.49,375000.0,374865.78,374888.75,375000.0,375000.0,,,,,
0.058,102682,374618.37,374712.19,374902.1,375000.0,374868.4,374891.45,375000.0,375000.0,,,,,
0.059,102683,374623.15,374716.87,374906.76,375000.0,374873.07,374896.18,375000.0,375000.0,,,,,
0.060,102684,374629.82,374723.25,374913.05,375000.0,374879.41,374902.51,375000.0,375000.0,,,,,
0.061,102685,374637.82,374730.81,374920.45,375000.0,374886.89,374909.89,375000.0,375000.0,,,,,
0.062,102686,374646.51,374738.93,374928.39,375000.0,374894.91,374917.74,375000.0,375000.0,,,,,
0.063,102687,374655.15,374746.96,374936.19,375000.0,374902.8,374925.44,375000.0,375000.0,,,,,
0.064,102688,374662.92,374754.16,374943.13,375000.0,374909.82,374932.31,375000.0,375000.0,,,,,
