Cygnus version: 0.28.0.6,File version: 2021.11
Operative system: Windows
Record datetime: 2024-07-02 10:22:02.042
Device ID: A8EEG_DONGLE_BWS2540
Device verison: 
Device bandwidth: DC to 131 Hz
Device sampling rate: 1000 samples/second
Data type / unit: EEG / micro-volt (uV)
Bandpass filter: None
Notch filter: None
Timestamp,Serial Number,Fp1,Fp2,Fz,C3,C4,Pz,O1,O2,Event Id,Event Date,Event Duration,Software Marker,Software Marker Name
0.000,10499,375000.0,363454.03,375000.0,375000.0,375000.0,365318.03,375000.0,367716.15,,,,,
0.001,10500,375000.0,363430.0,375000.0,375000.0,375000.0,365332.84,375000.0,367739.27,,,,,
0.002,10501,375000.0,363368.69,375000.0,375000.0,375000.0,365400.08,375000.0,367814.78,,,,,
0.003,10502,375000.0,363247.34,375000.0,375000.0,375000.0,365547.3,375000.0,367970.39,,,,,
0.004,10503,375000.0,363066.29,375000.0,375000.0,375000.0,365764.0,375000.0,368195.86,,,,,
0.005,10504,375000.0,362848.24,375000.0,375000.0,375000.0,366006.11,375000.0,368447.38,,,,,
0.006,10505,375000.0,362629.06,375000.0,375000.0,375000.0,366215.6,375000.0,368666.82,,,,,
0.007,10506,375000.0,362444.38,375000.0,375000.0,375000.0,366345.67,375000.0,368806.65,,,,,
0.008,10507,375000.0,362317.83,375000.0,375000.0,375000.0,366379.42,375000.0,368848.7,,,,,
0.009,10508,375000.0,362255.54,375000.0,375000.0,375000.0,366333.9,375000.0,368808.49,,,,,
0.010,10509,375000.0,362248.49,375000.0,375000.0,375000.0,366248.55,375000.0,368724.27,,,,,
0.011,10510,375000.0,362280.55,375000.0,375000.0,375000.0,366164.59,375000.0,368636.81,,,,,
0.012,10511,375000.0,362337.78,375000.0,375000.0,375000.0,366105.72,375000.0,368570.38,,,,,
0.013,10512,375000.0,362414.57,375000.0,375000.0,375000.0,366069.24,375000.0,368523.6,,,,,
0.014,10513,375000.0,362513.91,375000.0,375000.0,375000.0,366030.93,375000.0,368473.95,,,,,
0.015,10514,375000.0,362642.23,375000.0,375000.0,375000.0,365960.43,375000.0,368392.59,,,,,
0.016,10515,375000.0,362801.73,375000.0,375000.0,375000.0,365839.21,375000.0,368261.92,,,,,
0.017,10516,375000.0,362984.12,375000.0,375000.0,375000.0,365672.39,375000.0,368087.49,,,,,
0.018,10517,375000.0,363168.87,375000.0,375000.0,375000.0,365489.7,375000.0,367899.06,,,,,
0.019,10518,375000.0,363326.76,375000.0,375000.0,375000.0,365335.43,375000.0,367741.0,,,,,
0.020,10519,375000.0,363427.65,375000.0,375000.0,375000.0,365252.62,375000.0,367656.64,,,,,
0.021,10520,375000.0,363449.2,375000.0,375000.0,375000.0,365268.0,375000.0,367673.19,,,,,
0.022,10521,375000.0,363383.57,375000.0,375000.0,375000.0,365383.33,375000.0,367792.89,,,,,
0.023,10522,375000.0,363239.9,375000.0,375000.0,375000.0,365575.68,375000.0,367992.82,,,,,
0.024,10523,375000.0,363041.84,375000.0,375000.0,375000.0,365805.12,375000.0,368232.52,,,,,
0.025,10524,375000.0,362821.48,375000.0,375000.0,375000.0,366026.74,375000.0,368465.88,,,,,
0.026,10525,375000.0,362611.54,375000.0,375000.0,375000.0,366202.5,375000.0,368653.29,,,,,
0.027,10526,375000.0,362438.35,375000.0,375000.0,375000.0,366309.81,375000.0,368770.62,,,,,
0.028,10527,375000.0,362317.37,375000.0,375000.0,375000.0,366344.92,375000.0,368812.91,,,,,
0.029,10528,375000.0,362252.26,375000.0,375000.0,375000.0,366320.86,375000.0,368792.49,,,,,
0.030,10529,375000.0,362237.39,375000.0,375000.0,375000.0,366260.83,375000.0,368732.42,,,,,
0.031,10530,375000.0,362262.56,375000.0,375000.0,375000.0,366189.17,375000.0,368657.29,,,,,
0.032,10531,375000.0,362318.12,375000.0,375000.0,375000.0,366122.52,375000.0,368584.26,,,,,
0.033,10532,375000.0,362398.71,375000.0,375000.0,375000.0,366064.26,375000.0,368517.37,,,,,
0.034,10533,375000.0,362503.95,375000.0,375000.0,375000.0,366004.43,375000.0,368447.44,,,,,
0.035,10534,375000.0,362635.97,375000.0,375000.0,375000.0,365925.71,375000.0,368358.04,,,,,
0.036,10535,375000.0,362794.68,375000.0,375000.0,375000.0,365813.5,375000.0,368235.49,,,,,
0.037,10536,375000.0,362972.79,375000.0,375000.0,375000.0,365666.21,375000.0,368079.18,,,,,
0.038,10537,375000.0,363153.09,375000.0,375000.0,375000.0,365501.1,375000.0,367907.19,,,,,
0.039,10538,375000.0,363309.68,375000.0,375000.0,375000.0,365352.28,375000.0,367754.26,,,,,
0.040,10539,375000.0,363413.44,375000.0,375000.0,375000.0,365260.77,375000.0,367661.78,,,,,
0.041,10540,375000.0,363440.15,375000.0,375000.0,375000.0,365259.97,375000.0,367663.23,,,,,
0.042,10541,375000.0,363378.45,375000.0,375000.0,375000.0,365362.18,375000.0,367770.76,,,,,
0.043,10542,375000.0,363234.6,375000.0,375000.0,375000.0,365552.09,375000.0,367968.67,,,,,
0.044,10543,375000.0,363031.9,375000.0,375000.0,375000.0,365790.2,375000.0,368216.8,,,,,
0.045,10544,375000.0,362804.82,375000.0,375000.0,375000.0,366025.16,375000.0,368462.89,,,,,
0.046,10545,375000.0,362589.79,375000.0,375000.0,375000.0,366210.29,375000.0,368659.1,,,,,
0.047,10546,375000.0,362415.94,375000.0,375000.0,375000.0,366317.68,375000.0,368776.28,,,,,
0.048,10547,375000.0,362298.97,375000.0,375000.0,375000.0,366344.67,375000.0,368810.58,,,,,
0.049,10548,375000.0,362240.2,375000.0,375000.0,375000.0,366310.53,375000.0,368780.4,,,,,
0.050,10549,375000.0,362230.44,375000.0,375000.0,375000.0,366245.47,375000.0,368715.57,,,,,
0.051,10550,375000.0,362256.78,375000.0,375000.0,375000.0,366177.06,375000.0,368643.74,,,,,
